# time E1 E2 E3 W1 W2 W3 W4 W5 W6
209 0.35682 1 0.64318 -0.5647 -1.0746 -0.91874 0.78265 1.0815 0.29511
210 0.36017 0.98447 0.6243 -0.56636 -1.0766 -0.92618 0.73367 1.0923 0.31427
211 0.35837 0.95469 0.59633 -0.56139 -1.0674 -0.92438 0.68658 1.0897 0.32856
212 0.34593 0.9197 0.57377 -0.54444 -1.0485 -0.92458 0.60755 1.0315 0.3376
213 0.32469 0.86924 0.54455 -0.52614 -1.0254 -0.92296 0.49435 0.90917 0.34656
214 0.29818 0.79409 0.49592 -0.48773 -0.97317 -0.9155 0.36719 0.76685 0.35141
215 0.26529 0.71581 0.45052 -0.44991 -0.92415 -0.90632 0.2267 0.60111 0.3457
216 0.23414 0.64972 0.41558 -0.42232 -0.87647 -0.89574 0.085585 0.43797 0.33579
217 0.20556 0.59649 0.39093 -0.40201 -0.83472 -0.88083 -0.049749 0.2813 0.32153
218 0.17542 0.53837 0.36295 -0.37658 -0.79227 -0.86095 -0.17799 0.13774 0.30527
219 0.13608 0.4535 0.31742 -0.32937 -0.73711 -0.82792 -0.30047 -0.0077833 0.28012
220 0.09965 0.35819 0.25854 -0.27874 -0.67493 -0.78183 -0.39368 -0.13083 0.25533
221 0.06797 0.26955 0.20158 -0.23153 -0.60999 -0.73108 -0.44982 -0.21484 0.23108
222 0.038333 0.1895 0.15117 -0.19188 -0.5524 -0.67633 -0.46589 -0.25895 0.20674
223 0.012359 0.12127 0.10891 -0.15988 -0.50094 -0.62177 -0.45212 -0.27151 0.18097
224 -0.013677 0.068007 0.081684 -0.12895 -0.4549 -0.57343 -0.42882 -0.27263 0.15845
225 -0.034923 0.03056 0.065482 -0.10875 -0.41814 -0.52868 -0.39718 -0.26472 0.13826
226 -0.053841 -0.0030201 0.050821 -0.08876 -0.38349 -0.48837 -0.3689 -0.25827 0.11682
227 -0.068434 -0.032286 0.036148 -0.074035 -0.35435 -0.45278 -0.34447 -0.25235 0.096308
228 -0.075842 -0.052672 0.02317 -0.061738 -0.32647 -0.42136 -0.32555 -0.24683 0.078689
229 -0.081703 -0.072017 0.0096852 -0.054153 -0.30369 -0.39286 -0.30859 -0.24119 0.062132
230 -0.08419 -0.0895 -0.0053099 -0.04585 -0.27748 -0.36553 -0.29412 -0.23673 0.046275
231 -0.088151 -0.10982 -0.021673 -0.033825 -0.25161 -0.33863 -0.27974 -0.23182 0.027962
232 -0.090231 -0.12327 -0.033035 -0.025656 -0.23145 -0.31654 -0.26938 -0.22899 0.014075
233 -0.09088 -0.13181 -0.040932 -0.021644 -0.21225 -0.29378 -0.2578 -0.22414 0.0023063
234 -0.089197 -0.13436 -0.045159 -0.017743 -0.19369 -0.2732 -0.24754 -0.21896 -0.0041155
235 -0.082668 -0.1298 -0.047133 -0.020268 -0.17688 -0.24847 -0.23101 -0.20706 -0.0065476
